id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1363851447264284673,1363851447264284673,2021-02-22 15:01:38 Romance Standard Time,2021-02-22,15:01:38,+0200,928122955,geckomanart,Geckoman,,Bon voyage tortoise! I'm glad I got a couple of photos before you went.  #tortoise #testudo #testudokleinmanni #egyptiantortoise #bronzesculpture #sciart #wildlifesculpture #geckoman #johnnoblemilner #hebdenbridge  https://t.co/a4s1d7zx3h,en,[],[],['https://pbs.twimg.com/media/Eu1feQmXYAY0nwS.jpg'],0,0,1,"['tortoise', 'testudo', 'testudokleinmanni', 'egyptiantortoise', 'bronzesculpture', 'sciart', 'wildlifesculpture', 'geckoman', 'johnnoblemilner', 'hebdenbridge']",[],https://twitter.com/GeckomanArt/status/1363851447264284673,False,,1,https://pbs.twimg.com/media/Eu1feQmXYAY0nwS.jpg,,,,,,,[],,,,
1363774093238161408,1363774093238161408,2021-02-22 09:54:16 Romance Standard Time,2021-02-22,09:54:16,+0200,928122955,geckomanart,Geckoman,,Another limited edition bronze #tortoise #sculpture finished and on it’s way to its forever home.   #testudo #testudokleinmanni #egyptiantortoise #bronzesculpture #sciart #wildlifesculpture #geckoman #johnnoblemilner #hebdenbridge  https://t.co/cZbNUxpzVR,en,[],[],['https://pbs.twimg.com/media/Eu0YC3NWgAIkKjp.jpg'],0,0,3,"['tortoise', 'sculpture', 'testudo', 'testudokleinmanni', 'egyptiantortoise', 'bronzesculpture', 'sciart', 'wildlifesculpture', 'geckoman', 'johnnoblemilner', 'hebdenbridge']",[],https://twitter.com/GeckomanArt/status/1363774093238161408,False,,1,https://pbs.twimg.com/media/Eu0YC3NWgAIkKjp.jpg,,,,,,,[],,,,
1356572242684088322,1356572242684088322,2021-02-02 12:56:41 Romance Standard Time,2021-02-02,12:56:41,+0200,2812618160,exoticvet1,Suffolk Exotic Vet,,"🐢 It's Tortoise Tuesday! 🐢 Say hello to the roar-some Munch, and cheeky Spot; two Kleinmann's ""Egyptian"" Tortoises.  This species is one of the world's most endangered and is near extinction in it's wild habitat. #reptilevet #exoticvet #egyptiantortoise  #suffolkexoticvets  https://t.co/Z8muU3S4kF",en,[],[],"['https://pbs.twimg.com/media/EtODQ0GXUAAsome.jpg', 'https://pbs.twimg.com/media/EtODQ-HXcAEPBMQ.jpg']",0,0,0,"['reptilevet', 'exoticvet', 'egyptiantortoise', 'suffolkexoticvets']",[],https://twitter.com/Exoticvet1/status/1356572242684088322,False,,1,https://pbs.twimg.com/media/EtODQ0GXUAAsome.jpg,,,,,,,[],,,,
1356302561981177856,1356302561981177856,2021-02-01 19:05:04 Romance Standard Time,2021-02-01,19:05:04,+0200,167546122,sedgwickcozoo,Sedgwick County Zoo,,All tortoises are turtles but not all turtles are tortoises. A tortoise lives exclusively on land except for drinking water and the occasional bath. #EgyptianTortoise  https://t.co/aKMeSTuRxb,en,[],[],[],0,0,10,['egyptiantortoise'],[],https://twitter.com/SedgwickCoZoo/status/1356302561981177856,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1356301312175071234/pu/img/YvmOP9cJf39hm-_2.jpg,,,,,,,[],,,,
1236666822784692225,1236666822784692225,2020-03-08 15:55:21 Romance Standard Time,2020-03-08,15:55:21,+0200,19230964,_sue_j_uk,Sue,,#testudokleinmanni #egyptiantortoise This little one hatched today ... what a great way to cheer up a dreary day!  https://t.co/tX6ySvLpDN,en,[],[],"['https://pbs.twimg.com/media/ESmF6qrWkAAdMQ0.jpg', 'https://pbs.twimg.com/media/ESmF6qrXYAAzhsm.jpg', 'https://pbs.twimg.com/media/ESmF6rKWoAEJK1C.jpg']",1,0,9,"['testudokleinmanni', 'egyptiantortoise']",[],https://twitter.com/_sue_j_uk/status/1236666822784692225,False,,1,https://pbs.twimg.com/media/ESmF6qrWkAAdMQ0.jpg,,,,,,,[],,,,
1202006973425704960,1202006973425704960,2019-12-04 00:29:29 Romance Standard Time,2019-12-04,00:29:29,+0200,145658858,sunny1063online,Sunny 106.3,,Have I mentioned how much I love my job?  Had a visit with an Egyptian tortoise from our @cheyennemtnzoo Meet Scooter. He stole my heart. ❤️ #zoo #tortoise #egyptiantortoise #scooter  https://t.co/NnnpOo1JFd,en,"[{'screen_name': 'cheyennemtnzoo', 'name': 'cheyennemountainzoo', 'id': '45944023'}]",['https://www.instagram.com/p/B5oPWRGnBro/?igshid=d25x0zo4zlmn'],[],0,0,0,"['zoo', 'tortoise', 'egyptiantortoise', 'scooter']",[],https://twitter.com/sunny1063online/status/1202006973425704960,False,,0,,,,,,,,[],,,,
1177949733190602754,1177949733190602754,2019-09-28 16:14:36 Romance Daylight Time,2019-09-28,16:14:36,+0200,19230964,_sue_j_uk,Sue,,#testudokleinmanni #egyptiantortoise #kleinmanni Excellent guide to husbandry of Egyptian tortoises for anyone interested  https://t.co/wfITwOvgkw,en,[],['https://www.eaza.net/assets/Uploads/CCC/BPG-2019/2019-Testudo-kleinmanni-Egyptian-tortoise-EAZA-Best-Practice-Guidelines-Approved.pdf'],[],0,0,0,"['testudokleinmanni', 'egyptiantortoise', 'kleinmanni']",[],https://twitter.com/_sue_j_uk/status/1177949733190602754,False,,0,,,,,,,,[],,,,
1146003946353414146,1146003946353414146,2019-07-02 12:33:27 Romance Daylight Time,2019-07-02,12:33:27,+0200,19230964,_sue_j_uk,Sue,,#egyptiantortoise #testudokleinmanni #kleinmanni   Happy hatch day 🥰  https://t.co/9O6VH1lgZ6,en,[],[],['https://pbs.twimg.com/media/D-dsg4fWkAElKPK.jpg'],0,0,4,"['egyptiantortoise', 'testudokleinmanni', 'kleinmanni']",[],https://twitter.com/_sue_j_uk/status/1146003946353414146,False,,1,https://pbs.twimg.com/media/D-dsg4fWkAElKPK.jpg,,,,,,,[],,,,
1138811767352647680,1138811767352647680,2019-06-12 16:14:18 Romance Daylight Time,2019-06-12,16:14:18,+0200,373017630,thebaybaltimore,100.7 The Bay,,"Thanks so much @AEveleth and @ClaireAubel for bringing Statler, the adorable #EgyptianTortoise from @marylandzoo to @TheBayBaltimore  to promote the new #AfricanJourney! @radiostash 💚🐢  https://t.co/TVFx6y2nkQ",en,"[{'screen_name': 'aeveleth', 'name': 'amy eveleth', 'id': '1364361038'}, {'screen_name': 'claireaubel', 'name': 'claire aubel', 'id': '712750152'}, {'screen_name': 'marylandzoo', 'name': 'maryland zoo', 'id': '18995389'}, {'screen_name': 'thebaybaltimore', 'name': '100.7 the bay', 'id': '373017630'}, {'screen_name': 'radiostash', 'name': 'stash..(steve ash)', 'id': '36446358'}]",[],"['https://pbs.twimg.com/media/D83fQ7PXoAQ3vvf.jpg', 'https://pbs.twimg.com/media/D83fQ7RWsAAe6MZ.jpg']",0,0,3,"['egyptiantortoise', 'africanjourney']",[],https://twitter.com/TheBayBaltimore/status/1138811767352647680,False,,1,https://pbs.twimg.com/media/D83fQ7PXoAQ3vvf.jpg,,,,,,,[],,,,
1131754564871495680,1131754564871495680,2019-05-24 04:51:29 Romance Daylight Time,2019-05-24,04:51:29,+0200,29766681,falconwoodson,Falcwoodson,,Today is #worldturtleday so let’s all #shellebrate together. Here is a video of some #egyptiantortoise that are #criticallyendangered in the wild and you can see this pair at our #okczoo  where we are doing our part to educate the world about this species 🌍🐢  https://t.co/FpSVHoKITe,en,[],[],[],0,0,0,"['worldturtleday', 'shellebrate', 'egyptiantortoise', 'criticallyendangered', 'okczoo']",[],https://twitter.com/FalconWoodson/status/1131754564871495680,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1131754192983474178/pu/img/eQ5pJteR1tikCHX8.jpg,,,,,,,[],,,,
1130884668981743618,1130881622235127810,2019-05-21 19:14:50 Romance Daylight Time,2019-05-21,19:14:50,+0200,29766681,falconwoodson,Falcwoodson,,@Cinnabon #SweetTalk #egyptiantortoise  https://t.co/DVy0WwGkDX,und,[],[],['https://pbs.twimg.com/media/D7G1kqDXYAAWaRq.jpg'],1,0,1,"['sweettalk', 'egyptiantortoise']",[],https://twitter.com/FalconWoodson/status/1130884668981743618,False,,1,https://pbs.twimg.com/media/D7G1kqDXYAAWaRq.jpg,,,,,,,"[{'screen_name': 'Cinnabon', 'name': 'Cinnabon', 'id': '84708371'}]",,,,
1097225757443719171,1097225757443719171,2019-02-17 21:06:20 Romance Standard Time,2019-02-17,21:06:20,+0200,55209152,pollygalita,Polly Galita,,My tortoise Wasabi having fun today in the sun here in Alexandria Egypt #Tortoise #egyptiantortoise #pet #animal #fun #love #crazypet  https://t.co/xswU7qSOHr,en,[],['https://www.facebook.com/polly.galita/videos/2543908212288380/'],[],0,0,0,"['tortoise', 'egyptiantortoise', 'pet', 'animal', 'fun', 'love', 'crazypet']",[],https://twitter.com/pollygalita/status/1097225757443719171,False,,0,,,,,,,,[],,,,
1007015803277926402,1007015803277926402,2018-06-13 23:44:11 Romance Daylight Time,2018-06-13,23:44:11,+0200,15088772,woodlandparkzoo,Woodland Park Zoo,,Come down softly from that #mprraccoon drama with a bit of tortoise #anticipation. Come on buddy #youcandoit! #Egyptiantortoise #wednesdaymood #InspirationWednesday  https://t.co/mpmWwwdBJP,en,[],[],[],2,8,53,"['mprraccoon', 'anticipation', 'youcandoit', 'egyptiantortoise', 'wednesdaymood', 'inspirationwednesday']",[],https://twitter.com/woodlandparkzoo/status/1007015803277926402,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1007015406802911232/pu/img/oQs0ZRHtS0iOW2U9.jpg,,,,,,,[],,,,
999431662621642753,999431662621642753,2018-05-24 01:27:31 Romance Daylight Time,2018-05-24,01:27:31,+0200,484471948,courtchew,Courtney Chew,,Happy #TurtleDay ya'll 💚🐢 #EgyptianTortoise #EndangeredSpecies #tortoisetown  https://t.co/u0fp2VNvSE,en,[],[],[],0,0,1,"['turtleday', 'egyptiantortoise', 'endangeredspecies', 'tortoisetown']",[],https://twitter.com/courtchew/status/999431662621642753,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/999431632703574016/pu/img/IupwUHKTqzcgBBQ_.jpg,,,,,,,[],,,,
981563893964263424,981563893964263424,2018-04-04 18:07:23 Romance Daylight Time,2018-04-04,18:07:23,+0200,797165443786096641,mrsdasilvagr3,Mrs. Dasilva,,"Meet Statler, the Egyptian Tortoise. #egyptiantortoise @marylandzoo  https://t.co/yf5IcbdNcB",en,"[{'screen_name': 'marylandzoo', 'name': 'maryland zoo', 'id': '18995389'}]",[],"['https://pbs.twimg.com/media/DZ83HkUWsAc4GQs.jpg', 'https://pbs.twimg.com/media/DZ83HkqWsAAKwmz.jpg']",0,0,2,['egyptiantortoise'],[],https://twitter.com/MrsDasilvagr3/status/981563893964263424,False,,1,https://pbs.twimg.com/media/DZ83HkUWsAc4GQs.jpg,,,,,,,[],,,,
933797808196354048,933797808196354048,2017-11-23 21:42:01 Romance Standard Time,2017-11-23,21:42:01,+0200,15088772,woodlandparkzoo,Woodland Park Zoo,,When you just need to test the recipe before the fam shows up... #ThanksGIFing #Egyptiantortoise #thanksgiving #woodlandparkzoo  https://t.co/5VZmc2PxVS,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/DPWD2H_UIAAwSfm.jpg'],0,14,45,"['thanksgifing', 'egyptiantortoise', 'thanksgiving', 'woodlandparkzoo']",[],https://twitter.com/woodlandparkzoo/status/933797808196354048,False,,1,https://pbs.twimg.com/tweet_video_thumb/DPWD2H_UIAAwSfm.jpg,,,,,,,[],,,,
858510034560581632,858510034560581632,2017-04-30 04:35:17 Romance Daylight Time,2017-04-30,04:35:17,+0200,798264246484119552,hibikiogu,hibiki_ogu,,#野毛山動物園 #エジプトリクガメ #横浜 #Nogeyamazoo #yokohama #egyptiantortoise  https://t.co/grlvI8WUZS,und,[],[],['https://pbs.twimg.com/media/C-oKUx2XgAAOLcZ.jpg'],0,0,0,"['野毛山動物園', 'エジプトリクガメ', '横浜', 'nogeyamazoo', 'yokohama', 'egyptiantortoise']",[],https://twitter.com/HibikiOgu/status/858510034560581632,False,,1,https://pbs.twimg.com/media/C-oKUx2XgAAOLcZ.jpg,,,,,,,[],,,,
835498218377068545,835498218377068545,2017-02-25 15:34:32 Romance Standard Time,2017-02-25,15:34:32,+0200,182324515,alpelokanelo,Marcos Martínez,,Amor egipcio // Egyptian love #kleinmanni #egyptiantortoise  https://t.co/q3J8fLTwIq,und,[],['https://www.instagram.com/p/BQ8Cdgblvzp/'],[],0,1,2,"['kleinmanni', 'egyptiantortoise']",[],https://twitter.com/alpelokanelo/status/835498218377068545,False,,0,,,,,,,,[],,,,
795042186588868609,795042186588868609,2016-11-06 00:16:43 Romance Standard Time,2016-11-06,00:16:43,+0200,1403005717,yaeyeahch,YAEYEAH  ch / 八重,,あれ？爬虫類って可愛いじゃんシリーズ。 #カメ #亀 #エジプトリクガメ #egyptiantortoise #お食事中 #リクガメの手足を見ると #カンフーパンダを思い出す  https://t.co/7MbGrCKi0m,ja,[],[],[],0,0,0,"['カメ', '亀', 'エジプトリクガメ', 'egyptiantortoise', 'お食事中', 'リクガメの手足を見ると', 'カンフーパンダを思い出す']",[],https://twitter.com/yaeyeahch/status/795042186588868609,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/795042064563990528/pu/img/lPvdhoQP8PKwjQdv.jpg,,,,,,,[],,,,
716392319944171520,716392319944171520,2016-04-03 00:30:13 Romance Daylight Time,2016-04-03,00:30:13,+0200,1053866317,cherylahutch1,Cheryl Hutchinson,,Love these two they are growing so well #egyptiantortoise #kleinimanni #tortoise  https://t.co/hGYPy6hY8w,en,[],[],['https://pbs.twimg.com/media/CfEi7b0XEAEdNNp.jpg'],0,0,0,"['egyptiantortoise', 'kleinimanni', 'tortoise']",[],https://twitter.com/Cherylahutch1/status/716392319944171520,False,,1,https://pbs.twimg.com/media/CfEi7b0XEAEdNNp.jpg,,,,,,,[],,,,
685904763989266432,685904763989266432,2016-01-09 20:23:33 Romance Standard Time,2016-01-09,20:23:33,+0200,49786594,tevieboy,Little H Collective,,@woodlandparkzoo #timelapse #egyptiantortoise  https://t.co/n9Edv9qkgj,und,[],['https://www.instagram.com/p/BAVHO7eOzew/'],[],0,0,0,"['timelapse', 'egyptiantortoise']",[],https://twitter.com/tevieboy/status/685904763989266432,False,,0,,,,,,,,[],,,,
672448919918522368,672448919918522368,2015-12-03 17:14:50 Romance Standard Time,2015-12-03,17:14:50,+0200,86488785,needlemind,Scott,"{'type': 'Point', 'coordinates': [51.46416, -2.62321]}",This is an #EgyptianTortoise (@bristolzoogdns) @ Bristol Zoo Gardens  https://t.co/qDUDXBErC7,en,"[{'screen_name': 'bristolzoogdns', 'name': 'bristol zoo gardens', 'id': '41364587'}]",['https://www.instagram.com/p/-1gOn2HamQ/'],[],0,1,1,['egyptiantortoise'],[],https://twitter.com/Needlemind/status/672448919918522368,False,,0,,,,,,,,[],,,,
