id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1387488557082845185,1387488557082845185,2021-04-28 21:27:04 Romance Daylight Time,2021-04-28,21:27:04,+0200,1227765495086112768,modernfloorings,Modern Flooring Services,,Gray Oak Flooring Installation. Contact us today to schedule a free in-home assessment!  https://t.co/UKW58DQIkd   #grayoak #oakflooring #grayoakflooring #hardwoodflooring #hardwoodfloor #hardwoodfloors #woodfloors #floorrenovation #flooringinstallation #modernflooringservices  https://t.co/bRlA7gV1KA,en,[],['https://modernflooringservices.com'],"['https://pbs.twimg.com/media/E0FZYPLXsAEazQR.jpg', 'https://pbs.twimg.com/media/E0FZYPLXEAM_D32.jpg']",0,0,0,"['grayoak', 'oakflooring', 'grayoakflooring', 'hardwoodflooring', 'hardwoodfloor', 'hardwoodfloors', 'woodfloors', 'floorrenovation', 'flooringinstallation', 'modernflooringservices']",[],https://twitter.com/ModernFlooringS/status/1387488557082845185,False,,1,https://pbs.twimg.com/media/E0FZYPLXsAEazQR.jpg,,,,,,,[],,,,
1348751028137701377,1348751028137701377,2021-01-11 22:57:58 Romance Standard Time,2021-01-11,22:57:58,+0200,951861388590411777,vegetadaughter,🌼Princess Lala🌼,,God he is gorgeous! 😍😍😍 #Pokemon #grayoak  https://t.co/9NQy4jySu1,en,[],[],['https://pbs.twimg.com/media/Ere56N5WMAg3y-j.jpg'],0,0,2,"['pokemon', 'grayoak']",[],https://twitter.com/vegetadaughter/status/1348751028137701377,False,,1,https://pbs.twimg.com/media/Ere56N5WMAg3y-j.jpg,,,,,,,[],,,,
1301158404568887296,1301158404568887296,2020-09-02 16:01:52 Romance Daylight Time,2020-09-02,16:01:52,+0200,82712805,pipelineandgas,Pipeline&Gas Journal,,Phillips 66 has launched an open season on its #GrayOak #pipeline offering transport to a new #TX location. #oilpipeline #midstream #OOTT #PGJOnline #PGJ  https://t.co/aUTw6U5Svk,en,[],['http://ow.ly/1GE630r7CG3'],[],0,2,0,"['grayoak', 'pipeline', 'tx', 'oilpipeline', 'midstream', 'oott', 'pgjonline', 'pgj']",[],https://twitter.com/PipelineandGas/status/1301158404568887296,False,,0,,,,,,,,[],,,,
1300827274745450497,1300827274745450497,2020-09-01 18:06:05 Romance Daylight Time,2020-09-01,18:06:05,+0200,82712805,pipelineandgas,Pipeline&Gas Journal,,Phillips 66 has launched an open season on its #GrayOak #pipeline offering transport to a new #TX location. #oilpipeline #midstream #OOTT #PGJOnline #PGJ  https://t.co/nEBAsyHeTB,en,[],['http://ow.ly/paJ550BeTvg'],[],0,3,1,"['grayoak', 'pipeline', 'tx', 'oilpipeline', 'midstream', 'oott', 'pgjonline', 'pgj']",[],https://twitter.com/PipelineandGas/status/1300827274745450497,False,,0,,,,,,,,[],,,,
1263092701941071873,1263092701941071873,2020-05-20 15:02:21 Romance Daylight Time,2020-05-20,15:02:21,+0200,82712805,pipelineandgas,Pipeline&Gas Journal,,It might get a bit more expensive to ship on Phillips 66 #GrayOak #pipeline. #crudeoil #oilpipline #OOTT #midstream #PGJOnline  https://t.co/pHNwfacsj9,en,[],['http://ow.ly/Esar30qHxtc'],[],0,0,1,"['grayoak', 'pipeline', 'crudeoil', 'oilpipline', 'oott', 'midstream', 'pgjonline']",[],https://twitter.com/PipelineandGas/status/1263092701941071873,False,,0,,,,,,,,[],,,,
1262806330538147840,1262806330538147840,2020-05-19 20:04:25 Romance Daylight Time,2020-05-19,20:04:25,+0200,82712805,pipelineandgas,Pipeline&Gas Journal,,It might get a bit more expensive to ship on Phillips 66 #GrayOak #pipeline. #oil #crudeoil #oilpipline #OOTT #midstream #PGJOnline  https://t.co/C7O2liNtW6,en,[],['http://ow.ly/jZTN50zKHTm'],[],0,2,2,"['grayoak', 'pipeline', 'oil', 'crudeoil', 'oilpipline', 'oott', 'midstream', 'pgjonline']",[],https://twitter.com/PipelineandGas/status/1262806330538147840,False,,0,,,,,,,,[],,,,
1198983438247899136,1198983438247899136,2019-11-25 16:15:02 Romance Standard Time,2019-11-25,16:15:02,+0200,50611261,argusmedia,Argus Media,,".@Phillips66Co has started initial service on its 900,000 b/d #GrayOak pipeline from the Permian basin to Corpus Christi, Texas. It said, 22 November, that full service on the line will start in the 1Q 2020, as planned | #crudeoil  #ArgusOil news:  https://t.co/LQWUsoyTcI  https://t.co/NAfpej8PXT",en,"[{'screen_name': 'phillips66co', 'name': 'phillips 66', 'id': '405085229'}]",['https://okt.to/WE0L87'],['https://pbs.twimg.com/media/EKOlFNlX0AIIVg8.jpg'],0,2,1,"['grayoak', 'crudeoil', 'argusoil']",[],https://twitter.com/ArgusMedia/status/1198983438247899136,False,,1,https://pbs.twimg.com/media/EKOlFNlX0AIIVg8.jpg,,,,,,,[],,,,
1194291314701021184,1194291314701021184,2019-11-12 17:30:12 Romance Standard Time,2019-11-12,17:30:12,+0200,77031187,industrialinfo,Industrial Info,,Canada's @Enbridge Makes Headway on Key #Pipeline Projects:  https://t.co/M0gEqrF5v8  #midstream #oil #crudeoil #exports #imports #GrayOak #Line3 #IndustrialInfo  https://t.co/EclZkCN6fA,en,"[{'screen_name': 'enbridge', 'name': 'enbridge', 'id': '84181532'}]",['https://bit.ly/2X6bBRi'],['https://pbs.twimg.com/media/EJL5nxlXkAE3vlk.png'],0,0,0,"['pipeline', 'midstream', 'oil', 'crudeoil', 'exports', 'imports', 'grayoak', 'line3', 'industrialinfo']",[],https://twitter.com/industrialinfo/status/1194291314701021184,False,,1,https://pbs.twimg.com/media/EJL5nxlXkAE3vlk.png,,,,,,,[],,,,
1189209194123145216,1189209194123145216,2019-10-29 16:55:40 Romance Standard Time,2019-10-29,16:55:40,+0200,1174701066094546944,grayoakdental,Gray Oak Family Dental,,"OPEN HOUSE – THURSDAY NOVEMBER 7, 2019, FROM 4:00 PM to 7:00 PM – All are welcome FREE $10 gift certificate to Bon Appetit Y'all, or CJ's Café. We will also have a drawing to win a New iPad, $300 in FREE dental care, or a $100 visa card. View our invitation below. #GrayOak  https://t.co/URYsFVYPXP",en,[],[],['https://pbs.twimg.com/media/EIDrdLyXYAE8dIF.jpg'],0,0,0,['grayoak'],[],https://twitter.com/GrayOakDental/status/1189209194123145216,False,,1,https://pbs.twimg.com/media/EIDrdLyXYAE8dIF.jpg,,,,,,,[],,,,
1188097802313682944,1188097802313682944,2019-10-26 16:19:24 Romance Daylight Time,2019-10-26,16:19:24,+0200,1169623601085059072,_fullcourt,Full Court Realty,,Floors are in at our triplex on 33rd Street! Keep an eye on our @_fullcourt page for updates on leasing for these units in the next few weeks!  #vinylplankflooring #grayoak #flooring #constructionmanagement…  https://t.co/suJ26MSLRQ,en,"[{'screen_name': '_fullcourt', 'name': 'full court realty', 'id': '1169623601085059072'}]",['https://www.instagram.com/p/B4FaLzGj2vm/?igshid=lc28hpai2lun'],[],0,0,0,"['vinylplankflooring', 'grayoak', 'flooring', 'constructionmanagement']",[],https://twitter.com/_fullcourt/status/1188097802313682944,False,,0,,,,,,,,[],,,,
