id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1349627861163008000,1349627861163008000,2021-01-14 09:02:11 Romance Standard Time,2021-01-14,09:02:11,+0200,924264750896308226,blinking_owl,Blinking Owl Media,,Waiting for warmer days... . #epilobium #epilobiumhirstum #wildflower #greatwillowherb#willowherb #wildflowers#beautifuldecay #rosebaywillowherb #fiftyshades_of_nature #botanylovers#ukflora#wildbritain #mycountrylife #mycountryliving #botanyphotogra…  https://t.co/Y22xx0LAjY  https://t.co/KosfzP4tBK,en,[],['https://instagr.am/p/CKBJVFasMfU/'],['https://pbs.twimg.com/media/ErrXY1dXIAARldq.jpg'],0,0,1,"['epilobium', 'epilobiumhirstum', 'wildflower', 'rosebaywillowherb', 'fiftyshades_of_nature', 'mycountrylife', 'mycountryliving', 'botanyphotogra']",[],https://twitter.com/blinking_owl/status/1349627861163008000,False,,1,https://pbs.twimg.com/media/ErrXY1dXIAARldq.jpg,,,,,,,[],,,,
1296553994979024900,1295007390585229312,2020-08-20 23:05:35 Romance Daylight Time,2020-08-20,23:05:35,+0200,4752522058,lovetruenature,Ann💚tt💜(+^🌞🌈🎶🕊,,"@TheHazelBowden @YouTube 😀🙏🏼💚Hairy🌿#GreatWillowHerb🌺😍ThankU👌🏼Yes local names r cute 🙌🏽 latin absolutely truthful specific👍🏼Do u have that o top o ur head🤗or got a good nativeplantbook2 lookup🌱all🌸sorts,,,esp if edibilities n health benefits mentioned😀just tryin2learn ltl🌼by🦋ltl brainstorage☮️  https://t.co/cdju4NOB8B",en,[],[],['https://pbs.twimg.com/media/Ef5I4vmXsAslLGc.jpg'],2,1,3,['greatwillowherb'],[],https://twitter.com/LoveTrueNature/status/1296553994979024900,False,,1,https://pbs.twimg.com/media/Ef5I4vmXsAslLGc.jpg,,,,,,,"[{'screen_name': 'TheHazelBowden', 'name': 'Hazel Bowden ✊🏻💙', 'id': '2284281224'}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': '10228272'}]",,,,
1294006831371739136,1294006831371739136,2020-08-13 22:24:04 Romance Daylight Time,2020-08-13,22:24:04,+0200,1099639730856214531,jessnotthecat,jessnotthecat,,"Have accidentally grown a #wildflower garden - big trees were here, cut down by my landlords ‘cos they were getting a bit too big. Left a patch of dry mud &amp; wood-chip at the start of #lockdown, &amp; now this! No idea how, but I love it! #GreatWillowherb #LargeWhite #PurpletopVervain  https://t.co/f9vqE2etJS",en,[],[],"['https://pbs.twimg.com/media/EfU8WKHXoAAp3Bg.jpg', 'https://pbs.twimg.com/media/EfU8WKKX0AEhpKS.jpg', 'https://pbs.twimg.com/media/EfU8WKKWoAAubAZ.jpg', 'https://pbs.twimg.com/media/EfU8WKEXkAAvv6b.jpg']",0,0,3,"['wildflower', 'lockdown', 'greatwillowherb', 'largewhite', 'purpletopvervain']",[],https://twitter.com/jessnotthecat/status/1294006831371739136,False,,1,https://pbs.twimg.com/media/EfU8WKHXoAAp3Bg.jpg,,,,,,,[],,,,
1285501724682342400,1285501724682342400,2020-07-21 11:07:49 Romance Daylight Time,2020-07-21,11:07:49,+0200,1139833646125391879,mdphoto23,Michael Dyson Photography,,An image of some great willowherb i saw on my walk the other day #photography #photographer #flowerphotography #flowers #naturephotography #nature #greatwillowherb #countryfilemagazine #countryfile #bbcspringwatch  https://t.co/IWFjcn49ZN,en,[],[],['https://pbs.twimg.com/media/EdcFAVoXgAAvRtR.jpg'],0,0,3,"['photography', 'photographer', 'flowerphotography', 'flowers', 'naturephotography', 'nature', 'greatwillowherb', 'countryfilemagazine', 'countryfile', 'bbcspringwatch']",[],https://twitter.com/mdphoto23/status/1285501724682342400,False,,1,https://pbs.twimg.com/media/EdcFAVoXgAAvRtR.jpg,,,,,,,[],,,,
1284648345210937347,1284648345210937347,2020-07-19 02:36:47 Romance Daylight Time,2020-07-19,02:36:47,+0200,220113516,seanjamesdesign,Sean James,,"Walked@ #FletcherWildlifePreserve by @Hamilton_CA. LOVED using @inaturalist! It helped me identify so many things including a #PiedPaddySkimmer, #AppalachianBrown (pretty little butterfly) &amp; even new plants (#GreatWillowherb); would have taken forever to id without the app! THANX  https://t.co/gpb5q3NBvC",en,"[{'screen_name': 'hamilton_ca', 'name': 'hamilton ca', 'id': '27891630'}, {'screen_name': 'inaturalist', 'name': 'inaturalist', 'id': '14239043'}]",[],"['https://pbs.twimg.com/media/EdP81exXkAAlYGF.jpg', 'https://pbs.twimg.com/media/EdP82WeXoAUPxVA.jpg']",0,0,10,"['fletcherwildlifepreserve', 'piedpaddyskimmer', 'appalachianbrown', 'greatwillowherb']",[],https://twitter.com/seanjamesdesign/status/1284648345210937347,False,,1,https://pbs.twimg.com/media/EdP81exXkAAlYGF.jpg,,,,,,,[],,,,
1260537081438318592,1260537081438318592,2020-05-13 13:47:14 Romance Daylight Time,2020-05-13,13:47:14,+0200,132964957,arsenicsparkle,Arsenicum,,Burning in the depth of the forest  #ChamaenerionAngustifolium #Epilobium #EpilobiumAngustifolium #fireweed #GreatWillowherb  https://t.co/uvqwLeyswV,en,[],[],['https://pbs.twimg.com/media/EX5Td08WsAApl8S.jpg'],0,2,3,"['chamaenerionangustifolium', 'epilobium', 'epilobiumangustifolium', 'fireweed', 'greatwillowherb']",[],https://twitter.com/arsenicsparkle/status/1260537081438318592,False,,1,https://pbs.twimg.com/media/EX5Td08WsAApl8S.jpg,,,,,,,[],,,,
1196189674643034112,1196189674643034112,2019-11-17 23:13:37 Romance Standard Time,2019-11-17,23:13:37,+0200,1195382373887676416,wildabouts5,S5,,Somethings little feet. Water vole or rat? Had sightings of both later at dusk. Water vole swimming to the bank from open water and rat making its way quitely passed where I sat. @cambridgenature #watervole #reedsweetgrass #greatwillowherb #bittersweet @WaterVoleUK @wildlifebcn  https://t.co/B1rkMuTbgH,en,"[{'screen_name': 'cambridgenature', 'name': 'jo sinclair', 'id': '3317303589'}, {'screen_name': 'watervoleuk', 'name': 'water vole conservation uk', 'id': '958372427582595072'}, {'screen_name': 'wildlifebcn', 'name': 'the wildlife trust for beds, cambs & northants', 'id': '91107829'}]",[],['https://pbs.twimg.com/media/EJm4G3DXkAYe7gQ.jpg'],0,0,0,"['watervole', 'reedsweetgrass', 'greatwillowherb', 'bittersweet']",[],https://twitter.com/WildAboutS5/status/1196189674643034112,False,,1,https://pbs.twimg.com/media/EJm4G3DXkAYe7gQ.jpg,,,,,,,[],,,,
1139532738996953089,1139532738996953089,2019-06-14 15:59:11 Romance Daylight Time,2019-06-14,15:59:11,+0200,1083380676974559232,rpilze,Ruhrpott-Pilze,,Puccinia pulverulenta ex Epilobium hirsutum  #Pucciniapulverulenta #Puccinia #Epilobiumhirsutum #zottigesweidenröschen #greatwillowherb #rust #rustfungus #rostpilz #rost #mushroom #mushrooms #fungus #fungi #pilz #pilze #champignons #champignon #nature #natur  https://t.co/stQB2NufQY,lt,[],[],"['https://pbs.twimg.com/media/D9Bu-tYXsAML0H8.jpg', 'https://pbs.twimg.com/media/D9Bu-tYXsAACl4a.jpg', 'https://pbs.twimg.com/media/D9Bu-tYXYAMXX1Q.jpg', 'https://pbs.twimg.com/media/D9Bu-tYWsAATz31.jpg']",0,0,1,"['pucciniapulverulenta', 'puccinia', 'epilobiumhirsutum', 'zottigesweidenröschen', 'greatwillowherb', 'rust', 'rustfungus', 'rostpilz', 'rost', 'mushroom', 'mushrooms', 'fungus', 'fungi', 'pilz', 'pilze', 'champignons', 'champignon', 'nature', 'natur']",[],https://twitter.com/RPilze/status/1139532738996953089,False,,1,https://pbs.twimg.com/media/D9Bu-tYXsAML0H8.jpg,,,,,,,[],,,,
1043942034023886849,1043942034023886849,2018-09-23 21:15:51 Romance Daylight Time,2018-09-23,21:15:51,+0200,431027825,lesleyannmccue,Lesley McCue,,@wildflower_hour @BSBIbotany beautiful #greatwillowherb #seedheads for #wildflowerhour this week #autumnwatch 🍁🍂🌸😊  https://t.co/meS0ssjiN2,en,"[{'screen_name': 'bsbibotany', 'name': 'bsbi: botanical society of britain & ireland', 'id': '913393358'}]",[],['https://pbs.twimg.com/media/DnzTvmsWsAAyRdH.jpg'],0,3,25,"['greatwillowherb', 'seedheads', 'wildflowerhour', 'autumnwatch']",[],https://twitter.com/lesleyannmccue/status/1043942034023886849,False,,1,https://pbs.twimg.com/media/DnzTvmsWsAAyRdH.jpg,,,,,,,[],,,,
1032020207051661312,1032020207051661312,2018-08-21 23:42:46 Romance Daylight Time,2018-08-21,23:42:46,+0200,3299796214,saveoursparrows,SaveOurSparrows,,"#Hedgescapes from yesterday with their natural, wild beauty, would appear so much nicer, if #HimalayanBalsam did not put the #wildflowers under pressure.  The #GreatWillowHerb has been fantastic this #Summer ~ even in fading, its artistic movement is so beautiful.  https://t.co/17aGEumUhD",en,[],[],"['https://pbs.twimg.com/media/DlJ44kPW4AA2e16.jpg', 'https://pbs.twimg.com/media/DlJ44kTXcAMOSTO.jpg', 'https://pbs.twimg.com/media/DlJ44kOX0AIu2zj.jpg', 'https://pbs.twimg.com/media/DlJ44kNXcAEDj8B.jpg']",1,3,9,"['hedgescapes', 'himalayanbalsam', 'wildflowers', 'greatwillowherb', 'summer']",[],https://twitter.com/SaveOurSparrows/status/1032020207051661312,False,,1,https://pbs.twimg.com/media/DlJ44kPW4AA2e16.jpg,,,,,,,[],,,,
