id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1218337391041294339,1218337391041294339,2020-01-18 02:00:44 Romance Standard Time,2020-01-18,02:00:44,+0200,25774206,atlantishawaii,Atlantis Hawaii,,"The Haleakala Silversword is known as ""'ahinahina"" in Hawaiian. • • • #atlantishawaii #hawaii #maui #lahaina #undersea #adventure #dive #submarine #haleakalasilversword #ahinahina  https://t.co/TjOhIttQ0x",tl,[],[],['https://pbs.twimg.com/media/EOhnZgUX0AcRJX0.jpg'],0,1,4,"['atlantishawaii', 'hawaii', 'maui', 'lahaina', 'undersea', 'adventure', 'dive', 'submarine', 'haleakalasilversword', 'ahinahina']",[],https://twitter.com/atlantishawaii/status/1218337391041294339,False,,1,https://pbs.twimg.com/media/EOhnZgUX0AcRJX0.jpg,,,,,,,[],,,,
1198406005010452481,1198406005010452481,2019-11-24 02:00:31 Romance Standard Time,2019-11-24,02:00:31,+0200,25774206,atlantishawaii,Atlantis Hawaii,,"The Haleakala silversword is a protected species found only on the island of Maui. With time, the stalk can grow up to 6.6 feet. • • • #atlantishawaii #hawaii #maui #lahaina #haleakala #silversword #haleakalasilversword  https://t.co/FTTI9hR9HS",en,[],[],['https://pbs.twimg.com/media/EKGX6LnWwAIdGl6.jpg'],0,0,4,"['atlantishawaii', 'hawaii', 'maui', 'lahaina', 'haleakala', 'silversword', 'haleakalasilversword']",[],https://twitter.com/atlantishawaii/status/1198406005010452481,False,,1,https://pbs.twimg.com/media/EKGX6LnWwAIdGl6.jpg,,,,,,,[],,,,
1114229221876957184,1114229221876957184,2019-04-05 20:12:02 Romance Daylight Time,2019-04-05,20:12:02,+0200,70012869,bikingmaui,Bike Maui,,"Fun Facts about #HaleakalaSilversword: It thrives only at high altitudes, evolved 5 million years ago from Californian Tarweed, and was considered an endangered species in the 90's.  https://t.co/BYLdiJm9qY  https://t.co/8YbMmu8T77",en,[],['http://bit.ly/2IbbONI'],['https://pbs.twimg.com/media/D3aJkrNXoAAd-Zm.jpg'],0,1,2,['haleakalasilversword'],[],https://twitter.com/bikingmaui/status/1114229221876957184,False,,1,https://pbs.twimg.com/media/D3aJkrNXoAAd-Zm.jpg,,,,,,,[],,,,
899446397761495041,899446397761495041,2017-08-21 03:41:46 Romance Daylight Time,2017-08-21,03:41:46,+0200,711756072248172545,kukuluaeo,Marty Kawasaki,,@TNCHawaii nice snapshot of a subalpine symbiotic relationship between #Nalomeli and #Ahinahina #Yellowfacedbee #Haleakalasilversword  https://t.co/CvuoVxVHCJ,en,[],[],['https://pbs.twimg.com/media/DHt5uqNUQAAvfCu.jpg'],1,2,1,"['nalomeli', 'ahinahina', 'yellowfacedbee', 'haleakalasilversword']",[],https://twitter.com/KukuluAeo/status/899446397761495041,False,,1,https://pbs.twimg.com/media/DHt5uqNUQAAvfCu.jpg,,,,,,,[],,,,
762824007649484800,762824007649484800,2016-08-09 03:33:10 Romance Daylight Time,2016-08-09,03:33:10,+0200,4841795451,pinkharell2,Charell Smith Senic,,#haleakala #haleakalanationalpark #haleakalasunrise #maui #hawaii #haleakalasilversword is only…  https://t.co/mpTf5kwSOd,en,[],['https://www.instagram.com/p/BI3qDz3g_V6/'],[],0,0,0,"['haleakala', 'haleakalanationalpark', 'haleakalasunrise', 'maui', 'hawaii', 'haleakalasilversword']",[],https://twitter.com/pinkharell2/status/762824007649484800,False,,0,,,,,,,,[],,,,
573598549407105024,573598549407105024,2015-03-05 22:38:45 Romance Standard Time,2015-03-05,22:38:45,+0200,558940224,natlparksphotos,NationalParks Photos,,: Plant🌞the day (03/05/15) #hawaii #maui #haleakala #lightplay #haleakalasilversword #silversword #rareplant #plant…  http://t.co/1FPBfNZNOv,en,[],[],['https://pbs.twimg.com/media/B_XU12oWEAAicxT.jpg'],0,4,4,"['hawaii', 'maui', 'haleakala', 'lightplay', 'haleakalasilversword', 'silversword', 'rareplant', 'plant']",[],https://twitter.com/NatlParksPhotos/status/573598549407105024,False,,1,https://pbs.twimg.com/media/B_XU12oWEAAicxT.jpg,,,,,,,[],,,,
546023394341158912,546023394341158912,2014-12-19 20:24:56 Romance Standard Time,2014-12-19,20:24:56,+0200,18412349,amymarshsexdr,AMarsh: Twist & Tweet,,@laulaniteale  Threatened #HaleakalaSilversword harvested and sold.  http://t.co/9ViMp0orOG,en,[],['http://www.floracorona.com/product/silversword-flower-essence'],[],0,0,0,['haleakalasilversword'],[],https://twitter.com/AmyMarshSexDr/status/546023394341158912,False,,0,,,,,,,,[],,,,
546023253622276097,546023253622276097,2014-12-19 20:24:22 Romance Standard Time,2014-12-19,20:24:22,+0200,18412349,amymarshsexdr,AMarsh: Twist & Tweet,,@ihikapalaumaewa  Threatened #HaleakalaSilversword harvested and sold.  http://t.co/9ViMp0orOG,en,[],['http://www.floracorona.com/product/silversword-flower-essence'],[],0,0,0,['haleakalasilversword'],[],https://twitter.com/AmyMarshSexDr/status/546023253622276097,False,,0,,,,,,,,[],,,,
546022998856450050,546022998856450050,2014-12-19 20:23:22 Romance Standard Time,2014-12-19,20:23:22,+0200,18412349,amymarshsexdr,AMarsh: Twist & Tweet,,@dlnr Threatened #HaleakalaSilversword harvested and sold.  http://t.co/lj7XhyNl2Q,en,[],['http://www.floracorona.com/product/silversword-flower-essence'],[],0,0,0,['haleakalasilversword'],[],https://twitter.com/AmyMarshSexDr/status/546022998856450050,False,,0,,,,,,,,[],,,,
546022761206804480,546022761206804480,2014-12-19 20:22:25 Romance Standard Time,2014-12-19,20:22:25,+0200,18412349,amymarshsexdr,AMarsh: Twist & Tweet,,@kahiwal1 Threatened #HaleakalaSilversword harvested and sold.  http://t.co/9ViMp0orOG,en,[],['http://www.floracorona.com/product/silversword-flower-essence'],[],0,0,0,['haleakalasilversword'],[],https://twitter.com/AmyMarshSexDr/status/546022761206804480,False,,0,,,,,,,,[],,,,
