id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1380792668809203713,1380792668809203713,2021-04-10 10:00:00 Romance Daylight Time,2021-04-10,10:00:00,+0200,106400676,albiyes,René,,Thunnus alalunga #WitteTonijn #Albacore #Longfintuna  https://t.co/xZIaci5zEz,et,[],[],['https://pbs.twimg.com/media/EyCXIPqW8AMzB8Z.jpg'],0,2,1,"['wittetonijn', 'albacore', 'longfintuna']",[],https://twitter.com/AlbiYes/status/1380792668809203713,False,,1,https://pbs.twimg.com/media/EyCXIPqW8AMzB8Z.jpg,,,,,,,[],,,,
1282661800354471937,1282661800354471937,2020-07-13 15:02:58 Romance Daylight Time,2020-07-13,15:02:58,+0200,2686204194,gingerjen121,Jennify Lizor,,Albacore #whitemeattuna #longfintuna  https://t.co/EHahBV25Bp,en,[],[],['https://pbs.twimg.com/media/EczuGUfXkAEICOZ.jpg'],4,7,56,"['whitemeattuna', 'longfintuna']",[],https://twitter.com/gingerjen121/status/1282661800354471937,False,,1,https://pbs.twimg.com/media/EczuGUfXkAEICOZ.jpg,,,,,,,[],,,,
1122837247970226179,1122837247970226179,2019-04-29 14:17:15 Romance Daylight Time,2019-04-29,14:17:15,+0200,3292876931,hookedonafrica,Hooked On Africa,,Landing some decent fish the last couple of days including a 95Kg Bigeye #tuna #yellowfintuna and some #longfintuna #hottuna #tunafishing #ilovefishing #fishlife #capetown #tunafishing  https://t.co/4vjrPF7xSP  https://t.co/4vjrPF7xSP,en,[],"['https://www.hookedonafrica.co.za/a-whopper-of-a-big-eye-tuna/', 'https://www.hookedonafrica.co.za/a-whopper-of-a-big-eye-tuna/']",[],0,0,0,"['tuna', 'yellowfintuna', 'longfintuna', 'hottuna', 'tunafishing', 'ilovefishing', 'fishlife', 'capetown', 'tunafishing']",[],https://twitter.com/hookedonafrica/status/1122837247970226179,False,,0,,,,,,,,[],,,,
1063331693954834432,1063331693954834432,2018-11-16 08:23:26 Romance Standard Time,2018-11-16,08:23:26,+0200,3292876931,hookedonafrica,Hooked On Africa,,"Yesterday’s fishing action a #longfintuna day. Decent sizes, good fun! Happy anglers. — fishing",en,[],[],[],0,0,0,['longfintuna'],[],https://twitter.com/hookedonafrica/status/1063331693954834432,False,,0,,,,,,,,[],,,,
1043405072904990720,1043405072904990720,2018-09-22 09:42:09 Romance Daylight Time,2018-09-22,09:42:09,+0200,3292876931,hookedonafrica,Hooked On Africa,,Thursday's Springtime Tuna Fishing for clients from Michigan USA was world class. #longfintuna #houtbay #capetown #deepseafishing   https://t.co/mumVKsQPlo  https://t.co/mumVKsQPlo,en,[],"['https://www.hookedonafrica.co.za/longfin-tuna-fishing-fun-day-for-michigan-guests/', 'https://www.hookedonafrica.co.za/longfin-tuna-fishing-fun-day-for-michigan-guests/']",[],0,0,0,"['longfintuna', 'houtbay', 'capetown', 'deepseafishing']",[],https://twitter.com/hookedonafrica/status/1043405072904990720,False,,0,,,,,,,,[],,,,
984430857074233344,984430857074233344,2018-04-12 15:59:40 Romance Daylight Time,2018-04-12,15:59:40,+0200,3292876931,hookedonafrica,Hooked On Africa,,Fun with some #LongfinTuna today! Was a great day on the water. #Tuna #Tunafishing #Fishingcharters #houtbay #Capetown  https://t.co/Jgbn52jhqP,en,[],[],['https://pbs.twimg.com/media/DalmpZTWkAACpiv.jpg'],1,5,21,"['longfintuna', 'tuna', 'tunafishing', 'fishingcharters', 'houtbay', 'capetown']",[],https://twitter.com/hookedonafrica/status/984430857074233344,False,,1,https://pbs.twimg.com/media/DalmpZTWkAACpiv.jpg,,,,,,,[],,,,
911215590492209152,911215590492209152,2017-09-22 15:08:20 Romance Daylight Time,2017-09-22,15:08:20,+0200,3906572820,alexatnz,Alex Atienza,,"Y el despiece. Ventresca o ijada, lomos, cogote. #bonito #bonitolistado #longfintuna…  https://t.co/qqeFTpzgjG",es,[],['https://www.instagram.com/p/BZWCmr8nHQ5/'],[],0,0,0,"['bonito', 'bonitolistado', 'longfintuna']",[],https://twitter.com/alexatnz/status/911215590492209152,False,,0,,,,,,,,[],,,,
910850030558466048,910850030558466048,2017-09-21 14:55:44 Romance Daylight Time,2017-09-21,14:55:44,+0200,3906572820,alexatnz,Alex Atienza,,Bonito listado #bonito #bonitolistado #pescadodetemporada #longfintuna #tunafish #pescado #fish…  https://t.co/WdWdLgKxXV,pt,[],['https://www.instagram.com/p/BZTcf5anfFG/'],[],0,0,0,"['bonito', 'bonitolistado', 'pescadodetemporada', 'longfintuna', 'tunafish', 'pescado', 'fish']",[],https://twitter.com/alexatnz/status/910850030558466048,False,,0,,,,,,,,[],,,,
745240934686789632,745240934686789632,2016-06-21 15:04:19 Romance Daylight Time,2016-06-21,15:04:19,+0200,3292876931,hookedonafrica,Hooked On Africa,,The #LongfinTuna have made a return! We've got fantastic weather this week! Call us on 021 790 5332 to book a trip  https://t.co/4yUOjs4HWy,en,[],[],['https://pbs.twimg.com/media/ClegrdKXEAA29g2.jpg'],0,0,2,['longfintuna'],[],https://twitter.com/hookedonafrica/status/745240934686789632,False,,1,https://pbs.twimg.com/media/ClegrdKXEAA29g2.jpg,,,,,,,[],,,,
563826629357879296,563771341623787520,2015-02-06 23:28:38 Romance Standard Time,2015-02-06,23:28:38,+0200,298422650,juststevenewman,Just Steve Newman,"{'type': 'Point', 'coordinates': [-33.9456644, 18.3821731]}",@loveAfrica_ the mostest proud ever!! #LongFinTuna,en,[],[],[],0,0,1,['longfintuna'],[],https://twitter.com/JustSteveNewman/status/563826629357879296,False,,0,,,,,,,,[],,,,
