id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1335993098544041985,1335993098544041985,2020-12-07 18:02:30 Romance Standard Time,2020-12-07,18:02:30,+0200,735403542,nateyesphoto,Nature's Eyes,,Masked Tree Frog  #maskedtreefrog #treefrog #frog #nature #costarica #naturephotographer #wanderlust #traveltheworld @travelpics  https://t.co/9pkgYL74vk,en,"[{'screen_name': 'travelpics', 'name': 'travel pics', 'id': '36614754'}]",[],['https://pbs.twimg.com/media/EopmLHxXIAIS7FB.jpg'],0,0,0,"['maskedtreefrog', 'treefrog', 'frog', 'nature', 'costarica', 'naturephotographer', 'wanderlust', 'traveltheworld']",[],https://twitter.com/NateyesPhoto/status/1335993098544041985,False,,1,https://pbs.twimg.com/media/EopmLHxXIAIS7FB.jpg,,,,,,,[],,,,
1303000622137040896,1303000622137040896,2020-09-07 18:02:11 Romance Daylight Time,2020-09-07,18:02:11,+0200,735403542,nateyesphoto,Nature's Eyes,,Masked Tree Frog  #maskedtreefrog #treefrog #frog #nature #costarica #naturephotographer #wanderlust #traveltheworld @travelpics  https://t.co/HhFZktk3Ce,en,"[{'screen_name': 'travelpics', 'name': 'travel pics', 'id': '36614754'}]",[],['https://pbs.twimg.com/media/EhUvtdKXkAA5qMn.jpg'],0,0,0,"['maskedtreefrog', 'treefrog', 'frog', 'nature', 'costarica', 'naturephotographer', 'wanderlust', 'traveltheworld']",[],https://twitter.com/NateyesPhoto/status/1303000622137040896,False,,1,https://pbs.twimg.com/media/EhUvtdKXkAA5qMn.jpg,,,,,,,[],,,,
1123264562344734727,1123264562344734727,2019-04-30 18:35:15 Romance Daylight Time,2019-04-30,18:35:15,+0200,909897754574573568,sunscreendreams,Sunscreen Dreams,,RT @ctheisinger: Profile of a red-eyed tree frog #redeyedtreefrog #costarica #maskedtreefrog #costarica🇨🇷 #costaricatrip #puravida #vanlife #travelphotography #wildlifephotography #wildlife_photography…  https://t.co/G3Q2Vd59Qd,en,"[{'screen_name': 'ctheisinger', 'name': 'ctheisinger', 'id': '15910303'}]",['https://www.instagram.com/p/Bw4icvsH0w-/?utm_source=ig_twitter_share&igshid=1hi91bgpengrp'],[],0,0,0,"['redeyedtreefrog', 'costarica', 'maskedtreefrog', 'costarica', 'costaricatrip', 'puravida', 'vanlife', 'travelphotography', 'wildlifephotography', 'wildlife_photography']",[],https://twitter.com/sunscreendreams/status/1123264562344734727,False,,0,,,,,,,,[],,,,
1116690033958899712,1116690033958899712,2019-04-12 15:10:25 Romance Daylight Time,2019-04-12,15:10:25,+0200,909897754574573568,sunscreendreams,Sunscreen Dreams,,RT @ctheisinger: Masked tree frog #costarica #maskedtreefrog #costarica🇨🇷 #costaricatrip #puravida #vanlife #travelphotography #wildlifephotography #wildlife_photography #travelgram #instatravel…  https://t.co/S42mpjofue,en,"[{'screen_name': 'ctheisinger', 'name': 'ctheisinger', 'id': '15910303'}]",['https://www.instagram.com/p/BwJnAOvnYsR/?utm_source=ig_twitter_share&igshid=cajpi82nubep'],[],0,0,0,"['costarica', 'maskedtreefrog', 'costarica', 'costaricatrip', 'puravida', 'vanlife', 'travelphotography', 'wildlifephotography', 'wildlife_photography', 'travelgram', 'instatravel']",[],https://twitter.com/sunscreendreams/status/1116690033958899712,False,,0,,,,,,,,[],,,,
1026604295834279936,1026604295834279936,2018-08-07 01:01:52 Romance Daylight Time,2018-08-07,01:01:52,+0200,494423938,titohellfire777,alberto paulino,,Rana arborícola enmascarada(Smilisca phaeota). Precioso anuro que habita en Centroamérica. #MaskedTreeFrog #NewGranadaCrossBandedTreeFrog #Frog #Smilisca #Amphibians #IloveNature 💚. @AmphibiaWeb @amphibiansorg @fercasa14 @IviramAlonso  https://t.co/IlacMk9Is0,es,"[{'screen_name': 'amphibiaweb', 'name': 'amphibiaweb', 'id': '20493179'}, {'screen_name': 'amphibiansorg', 'name': 'amphibian survival alliance', 'id': '253099207'}, {'screen_name': 'fercasa14', 'name': 'fernando calvo sanchez', 'id': '59952679'}, {'screen_name': 'iviramalonso', 'name': 'victoria alonso 🎗', 'id': '1606943119'}]",[],[],0,2,2,"['maskedtreefrog', 'newgranadacrossbandedtreefrog', 'frog', 'smilisca', 'amphibians', 'ilovenature']",[],https://twitter.com/titohellfire777/status/1026604295834279936,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1026604223859965952/pu/img/FRHvGUwlE9amS_vw.jpg,,,,,,,[],,,,
986100442114371585,986100442114371585,2018-04-17 06:34:00 Romance Daylight Time,2018-04-17,06:34:00,+0200,224467302,neilmholland,Neil Holland,"{'type': 'Point', 'coordinates': [10.48814947, -84.7545433]}",Found this masked tree frog snoozing on a leaf. #maskedtreefrog #superhero #rainforest…  https://t.co/I3Zo4cPtW1,en,[],['https://www.instagram.com/p/BhqIanRD53r/'],[],0,0,0,"['maskedtreefrog', 'superhero', 'rainforest']",[],https://twitter.com/neilmholland/status/986100442114371585,False,,0,,,,,,,,[],,,,
981745174060597249,981745174060597249,2018-04-05 06:07:44 Romance Daylight Time,2018-04-05,06:07:44,+0200,435574027,chiktam,☆.... 𝕋 𝔸 𝕄 ....☆ (she/her),,This guy is so cool. #maskedtreefrog #CostaRica #frog  https://t.co/JNNAgTcvZD,en,[],[],[],0,0,0,"['maskedtreefrog', 'costarica', 'frog']",[],https://twitter.com/ChikTam/status/981745174060597249,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/981745000630251520/pu/img/Me03bYhcqTwwpY4l.jpg,,,,,,,[],,,,
959441956647600133,959441956647600133,2018-02-02 16:02:42 Romance Standard Time,2018-02-02,16:02:42,+0200,893793583,wigglywildshow,Cairis,,Guess who we found swimming after hours in the pool... 🐸 #maskedtreefrog #costarica  https://t.co/M2aNuDp9Wa,en,[],[],['https://pbs.twimg.com/media/DVCfX2TU8AA-bJE.jpg'],0,0,0,"['maskedtreefrog', 'costarica']",[],https://twitter.com/WigglyWildShow/status/959441956647600133,False,,1,https://pbs.twimg.com/media/DVCfX2TU8AA-bJE.jpg,,,,,,,[],,,,
833116367335329792,833116367335329792,2017-02-19 01:49:55 Romance Standard Time,2017-02-19,01:49:55,+0200,740230089992994820,beerandbackpack,BeerAndaBackpack,,catpee999 found a new Zorro today!  This little #MaskedTreeFrog was just chilling in the…  https://t.co/QjbwbSBvRl,en,[],['https://www.instagram.com/p/BQrHUwvAV3D/'],[],0,0,0,['maskedtreefrog'],[],https://twitter.com/BeerAndBackpack/status/833116367335329792,False,,0,,,,,,,,[],,,,
602935576308756480,602931964690112513,2015-05-25 22:33:38 Romance Daylight Time,2015-05-25,22:33:38,+0200,3177106903,taxomeanings,Taxonomical Meanings,,"Rhacophorus angulirostris - #MaskedTreeFrog. Angulirostris -- #Latin 'angulus' - ""angle"" + 'rōstrum' - ""snout,"" for its short pointed snout.",ro,[],[],[],0,0,0,"['maskedtreefrog', 'latin']",[],https://twitter.com/TaxoMeanings/status/602935576308756480,False,,0,,,,,,,,[],,,,
565896511309885441,565896511309885441,2015-02-12 16:33:36 Romance Standard Time,2015-02-12,16:33:36,+0200,2983057658,covergap,CoverGap,,Sleepy #FROG... by ... -  http://t.co/SX9WuYcgpn #Amphibian #CostaRica #MaskedTreeFrog #Nature #Wildlife  http://t.co/e8zbiMwFN6,en,[],['http://www.covergap.com/sleepy-frog-by-djlparent99/'],['https://pbs.twimg.com/media/B9p34O-CQAApQf0.jpg'],0,0,0,"['frog', 'amphibian', 'costarica', 'maskedtreefrog', 'nature', 'wildlife']",[],https://twitter.com/CoverGap/status/565896511309885441,False,,1,https://pbs.twimg.com/media/B9p34O-CQAApQf0.jpg,,,,,,,[],,,,
564996125371801600,564996125371801600,2015-02-10 04:55:48 Romance Standard Time,2015-02-10,04:55:48,+0200,2983057658,covergap,CoverGap,,Masked Tree #FROG 2 by ... -  http://t.co/2l3VcNb2Q5 #Amphibian #CostaRica #MaskedTreeFrog #Nature #Wildlife  http://t.co/H1ePqg4h60,en,[],['http://www.covergap.com/masked-tree-frog-2-by-djlparent99/'],['https://pbs.twimg.com/media/B9dE-4ICEAAIeMC.jpg'],0,0,0,"['frog', 'amphibian', 'costarica', 'maskedtreefrog', 'nature', 'wildlife']",[],https://twitter.com/CoverGap/status/564996125371801600,False,,1,https://pbs.twimg.com/media/B9dE-4ICEAAIeMC.jpg,,,,,,,[],,,,
563368958770704388,563368958770704388,2015-02-05 17:10:01 Romance Standard Time,2015-02-05,17:10:01,+0200,2983057658,covergap,CoverGap,,Masked Tree #FROG by ... -  http://t.co/Mda79TNMxa #Amphibian #CostaRica #MaskedTreeFrog #Nature #Wildlife  http://t.co/VO0Yv4m3pB,en,[],['http://www.covergap.com/masked-tree-frog-by-djlparent99/'],['https://pbs.twimg.com/media/B9F9FUECUAMy1Ao.jpg'],0,0,0,"['frog', 'amphibian', 'costarica', 'maskedtreefrog', 'nature', 'wildlife']",[],https://twitter.com/CoverGap/status/563368958770704388,False,,1,https://pbs.twimg.com/media/B9F9FUECUAMy1Ao.jpg,,,,,,,[],,,,
521477065611038721,521477065611038721,2014-10-13 03:46:35 Romance Daylight Time,2014-10-13,03:46:35,+0200,21356712,laparioseco,Lapa Rios Lodge,,Masked-tree Frog (Smilisca Phaeota)    http://t.co/XfDKhz6lwS  #costarica #frog #maskedtreefrog,en,[],['http://blog2.laparios.com/masked-tree-frog-smilisca-phaeota/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost'],[],0,0,0,"['costarica', 'frog', 'maskedtreefrog']",[],https://twitter.com/LapaRiosEco/status/521477065611038721,False,,0,,,,,,,,[],,,,
516827237593513984,516827237593513984,2014-09-30 07:49:50 Romance Daylight Time,2014-09-30,07:49:50,+0200,21356712,laparioseco,Lapa Rios Lodge,,Masked-tree Frog (Smilisca Phaeota)    http://t.co/XfDKhz6lwS  #costarica #frog #maskedtreefrog,en,[],['http://blog2.laparios.com/masked-tree-frog-smilisca-phaeota/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost'],[],0,0,0,"['costarica', 'frog', 'maskedtreefrog']",[],https://twitter.com/LapaRiosEco/status/516827237593513984,False,,0,,,,,,,,[],,,,
