id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1319559481118871552,1319551963059703808,2020-10-23 10:41:11 Romance Daylight Time,2020-10-23,10:41:11,+0200,127586085,6townsrunner,Phil - 6TownsRunner,,@AskMrsTurnbull Amazing. Thanks for this #microfrog 🐸❤️,en,[],[],[],0,0,0,['microfrog'],[],https://twitter.com/6townsrunner/status/1319559481118871552,False,,0,,,,,,,,"[{'screen_name': 'AskMrsTurnbull', 'name': 'Vanessa Turnbull', 'id': '3387188392'}]",,,,
1272566771342548993,1272131296576311298,2020-06-15 18:28:56 Romance Daylight Time,2020-06-15,18:28:56,+0200,825053599134838788,mcgettrickdamo,Damien McGettrick,,@collieennis @CorballisLinks golf course in Donabate you'll find plenty. There's a pond close to Estuary but have come across them close to the beach side of the course Young lad always stops to admire nature &amp; Mammy &amp; Baby #quackquacks the previous week #microfrog  https://t.co/AYAj1x0OzQ,en,[],[],['https://pbs.twimg.com/media/EakQtCuWkAEuV22.jpg'],0,0,1,"['quackquacks', 'microfrog']",[],https://twitter.com/McGettrickDamo/status/1272566771342548993,False,,1,https://pbs.twimg.com/media/EakQtCuWkAEuV22.jpg,,,,,,,"[{'screen_name': 'collieennis', 'name': 'Collie Ennis 🕷', 'id': '29856469'}]",,,,
1168703436889587713,1168703436889587713,2019-09-03 03:53:07 Romance Daylight Time,2019-09-03,03:53:07,+0200,96455190,niceguykc,Nice Social Distanced Guy in KC,,"The other two occupants of this house have amazing strength. They are the epitome of ""ride or die"". Until there's a mouse or a tiny dead frog.  #ohhhhhhTiiimmm #microfrog  https://t.co/Rp73cf8jc1",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/EDgRkhvVAAAU-MR.jpg'],0,0,1,"['ohhhhhhtiiimmm', 'microfrog']",[],https://twitter.com/niceguyKC/status/1168703436889587713,False,,1,https://pbs.twimg.com/tweet_video_thumb/EDgRkhvVAAAU-MR.jpg,,,,,,,[],,,,
1134795802709303301,1134795802709303301,2019-06-01 14:16:17 Romance Daylight Time,2019-06-01,14:16:17,+0200,1036569366,ketospeculator,Equality 7-2521,,#microfrog 🐸🥰  https://t.co/JnhVFqdkrF,und,[],[],"['https://pbs.twimg.com/media/D7-aw3OXYAIUlbL.jpg', 'https://pbs.twimg.com/media/D7-aw3PX4AADM9W.jpg', 'https://pbs.twimg.com/media/D7-aw3RWsAAAURL.jpg']",1,0,1,['microfrog'],[],https://twitter.com/KetoSpeculator/status/1134795802709303301,False,,1,https://pbs.twimg.com/media/D7-aw3OXYAIUlbL.jpg,,,,,,,[],,,,
1113799689516855296,1113799689516855296,2019-04-04 15:45:14 Romance Daylight Time,2019-04-04,15:45:14,+0200,40019814,seedmadagascar,SEED Madagascar,,"Meet newly-discovered #microfrog species, Mini mum, Mini ature and Mini scule!  We were involved in the #research of Mini scule; a #frog endemic to the fragmented forest floors of Sainte Luce, #Madagascar.   https://t.co/tv6O7LddtY @NatGeo",en,"[{'screen_name': 'natgeo', 'name': 'national geographic', 'id': '17471979'}]",['https://www.nationalgeographic.com/animals/2019/03/smallest-frog-species-discovered-mini-mum'],[],0,1,3,"['microfrog', 'research', 'frog', 'madagascar']",[],https://twitter.com/SEEDMadagascar/status/1113799689516855296,False,,0,,,,,,,,[],,,,
1111268768842276869,1111268768842276869,2019-03-28 15:08:15 Romance Standard Time,2019-03-28,15:08:15,+0200,52816668,karinmcmahon,CoffeeCheeseBacon,,#microfrog,und,[],[],[],0,0,0,['microfrog'],[],https://twitter.com/karinmcmahon/status/1111268768842276869,False,https://twitter.com/amphibiansorg/status/1111210942333898752,0,,,,,,,,[],,,,
1017934637400842242,1017934637400842242,2018-07-14 02:51:44 Romance Daylight Time,2018-07-14,02:51:44,+0200,17820367,adamguerbuez,Adam Guerbuez Foundation💯,,"This is cool, the little guys just wanna live in their habitat. #microfrog #lilguy #MeepMeep #MicroKermit  https://t.co/13v2IJs5H2",en,[],['https://montrealgazette.com/news/local-news/federal-judge-sides-with-tiny-frog-rules-against-quebec-developer'],[],0,0,0,"['microfrog', 'lilguy', 'meepmeep', 'microkermit']",[],https://twitter.com/AdamGuerbuez/status/1017934637400842242,False,,0,,,,,,,,[],,,,
998765693259706368,998765693259706368,2018-05-22 05:21:12 Romance Daylight Time,2018-05-22,05:21:12,+0200,983446262547705858,kneedeeptackle,KneeDeep Tackle,,We've got just the thing to end your Monday blues! Introducing the #MicroFrog. Perfect way to mimick the natural food #fish are biting on after all this #rain &amp; the movement on these is #SpotOn! The color combos ARE ENDLESS!  16ct/$3.50 + USPS #FishCandy #ribbit #fishing #EatIt  https://t.co/ffk4fopkjL,en,[],[],['https://pbs.twimg.com/media/DdxUD4rV0AA-8fJ.jpg'],0,3,6,"['microfrog', 'fish', 'rain', 'spoton', 'fishcandy', 'ribbit', 'fishing', 'eatit']",[],https://twitter.com/KneedeepTackle/status/998765693259706368,False,,1,https://pbs.twimg.com/media/DdxUD4rV0AA-8fJ.jpg,,,,,,,[],,,,
995135820465098752,995135820465098752,2018-05-12 04:57:22 Romance Daylight Time,2018-05-12,04:57:22,+0200,4535601981,andyandgwen,Bassin AF,,#microfrog #challenge #microchallenge #bassfishing #topwater…  https://t.co/jm7nBun2zY,und,[],['https://www.instagram.com/p/BiqVOw6Fc2N/?utm_source=ig_twitter_share'],[],0,0,0,"['microfrog', 'challenge', 'microchallenge', 'bassfishing', 'topwater']",[],https://twitter.com/AndyandGwen/status/995135820465098752,False,,0,,,,,,,,[],,,,
959152470546030592,959152470546030592,2018-02-01 20:52:23 Romance Standard Time,2018-02-01,20:52:23,+0200,806165210016993280,mgelpi814,Michael,,This bluegill is sporting a nice paint job. #ultralight #microfrog  https://t.co/TiwSMXQtT4,en,[],['https://www.instagram.com/p/Beqp5hYH_f1/'],[],0,0,0,"['ultralight', 'microfrog']",[],https://twitter.com/mgelpi814/status/959152470546030592,False,,0,,,,,,,,[],,,,
882640811896209408,882640811896209408,2017-07-05 18:42:22 Romance Daylight Time,2017-07-05,18:42:22,+0200,3131258813,enviro_lawyers,Cullinan&Associates,,🐸The #microfrog on Kenilworth Racecourse may be endemic to the race course! Fascinating! 🐸,en,[],[],[],0,0,2,['microfrog'],[],https://twitter.com/enviro_lawyers/status/882640811896209408,False,,0,,,,,,,,[],,,,
