id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1269006040873435146,1269006040873435146,2020-06-05 22:39:51 Romance Daylight Time,2020-06-05,22:39:51,+0200,63499875,gertientje,👣👣 𝒢𝑒𝓇𝓉𝒾𝑒𝓃𝓉𝒿𝑒 👣👣,,Een prachtige plantje. En erg zeldzaam. #waterlobelia #fotografie #fotonederland #zeldzaam #natuurmonumenten #drentslandschap #heelhollandfotografeert #foto #instagram #photography #flower #flowers #photographylovers…  https://t.co/hpFDr08rGv,nl,[],['https://www.instagram.com/p/CBES_s0MW1C/?igshid=fy1di7us2qf7'],[],0,0,2,"['waterlobelia', 'fotografie', 'fotonederland', 'zeldzaam', 'natuurmonumenten', 'drentslandschap', 'heelhollandfotografeert', 'foto', 'instagram', 'photography', 'flower', 'flowers', 'photographylovers']",[],https://twitter.com/gertientje/status/1269006040873435146,False,,0,,,,,,,,[],,,,
1204527386215305217,1204527386215305217,2019-12-10 23:24:42 Romance Standard Time,2019-12-10,23:24:42,+0200,47292446,karinmulders43,Karin Mulders,,"Gaat echt niet gebeuren #mijnnatuurblijft #N2000 De aanwijzing was goed, de natuur hersteld zich prachtig, de zeldzame #waterlobelia en de #aardbeivlinder zijn weer aanwezig. Geen schijn van kans #CDADinkelland",nl,[],[],[],0,0,0,"['mijnnatuurblijft', 'n2000', 'waterlobelia', 'aardbeivlinder', 'cdadinkelland']",[],https://twitter.com/karinmulders43/status/1204527386215305217,False,https://twitter.com/tctoldenzaal/status/1204510845784481792,0,,,,,,,,[],,,,
1167891535381196800,1167891535381196800,2019-08-31 22:06:55 Romance Daylight Time,2019-08-31,22:06:55,+0200,63499875,gertientje,👣👣 𝒢𝑒𝓇𝓉𝒾𝑒𝓃𝓉𝒿𝑒 👣👣,,Een klein zeldzaam bloemetje de waterLobelia. #bloemetje #fotografie #waterlobelia #zeldzaam #natuurmonumenten #natuur #natuurfotografie #instagram #photography #flowers #nature #naturephotography  https://t.co/NZAD770Ddz,nl,[],['https://www.instagram.com/p/B111cM4gDvo/?igshid=aoa4jrji47x3'],[],0,0,0,"['bloemetje', 'fotografie', 'waterlobelia', 'zeldzaam', 'natuurmonumenten', 'natuur', 'natuurfotografie', 'instagram', 'photography', 'flowers', 'nature', 'naturephotography']",[],https://twitter.com/gertientje/status/1167891535381196800,False,,0,,,,,,,,[],,,,
1098915000922583040,1098915000922583040,2019-02-22 12:58:47 Romance Standard Time,2019-02-22,12:58:47,+0200,784389114674249728,gce_uantwerp,GlobalChangeEcology,,Steven  Jacobs en Bart Van de Vijver droegen hun steentje bij aan het mooie canvasinitiatief #odeaanwatverdwijnt. Een eresaluut aan de #groenknolorchis en de #waterlobelia. @canvastv @botanicgarden01    https://t.co/DTqnPGMNZB  https://t.co/YfWKXncV2K,nl,"[{'screen_name': 'canvastv', 'name': 'canvas', 'id': '40703188'}, {'screen_name': 'botanicgarden01', 'name': 'meise botanic garden', 'id': '184747999'}]",['https://www.canvas.be/tag/odeaanwatverdwijnt'],['https://pbs.twimg.com/media/D0AgrPGWoAAdtam.png'],0,0,3,"['odeaanwatverdwijnt', 'groenknolorchis', 'waterlobelia']",[],https://twitter.com/GCE_UAntwerp/status/1098915000922583040,False,,1,https://pbs.twimg.com/media/D0AgrPGWoAAdtam.png,,,,,,,[],,,,
1090595839603544064,1090595839603544064,2019-01-30 14:01:25 Romance Standard Time,2019-01-30,14:01:25,+0200,200013456,compendium_clo,Milieu Natuur Ruimte,,Karakteristieke plantensoorten in heidevennen nemen weer toe vooral dankzij herstelmaatregelen.  https://t.co/He3cQqjyzN #plantensoorten #heide #vennen  #waterlobelia #oeverkruid  https://t.co/9eCFuwYjee,nl,[],['http://www.clo.nl/nl1139'],['https://pbs.twimg.com/media/DyKR90_W0AYBGCk.jpg'],0,0,0,"['plantensoorten', 'heide', 'vennen', 'waterlobelia', 'oeverkruid']",[],https://twitter.com/Compendium_CLO/status/1090595839603544064,False,,1,https://pbs.twimg.com/media/DyKR90_W0AYBGCk.jpg,,,,,,,[],,,,
1016465139468468224,1016465139468468224,2018-07-10 01:32:28 Romance Daylight Time,2018-07-10,01:32:28,+0200,268786742,treshnish,staywithus @Treshnish,,New flowers for me today on the beautiful Isle of Barra #waterlobelia #waterspeedwell #wildflowerhour @PlantlifeScot  https://t.co/qF2aOjU7RM,en,"[{'screen_name': 'plantlifescot', 'name': 'plantlife scotland', 'id': '3067904661'}]",[],"['https://pbs.twimg.com/media/Dhs1pqTXkAAZj40.jpg', 'https://pbs.twimg.com/media/Dhs1pq2VQAAvXdz.jpg']",0,9,36,"['waterlobelia', 'waterspeedwell', 'wildflowerhour']",[],https://twitter.com/Treshnish/status/1016465139468468224,False,,1,https://pbs.twimg.com/media/Dhs1pqTXkAAZj40.jpg,,,,,,,[],,,,
791809196517916672,791809196517916672,2016-10-28 03:09:58 Romance Daylight Time,2016-10-28,03:09:58,+0200,29658170,zoeingram,Zoe Ingram,,Day 28 - Water Lobelia #inktober #inktober2016 #dippen #indiaink #waterlobelia…  https://t.co/B2LYW8yJJd,en,[],['https://www.instagram.com/p/BMFm_6ZAcmx/'],[],0,0,0,"['inktober', 'inktober2016', 'dippen', 'indiaink', 'waterlobelia']",[],https://twitter.com/zoeingram/status/791809196517916672,False,,0,,,,,,,,[],,,,
781216368679067648,781203619706273792,2016-09-28 21:37:51 Romance Daylight Time,2016-09-28,21:37:51,+0200,194046496,rossenaar,Arnout-Jan Rossenaar,,@N2000drenthe @Dwingelderveld was onder de indruk idd heel veel #waterlobelia,nl,[],[],[],0,1,0,['waterlobelia'],[],https://twitter.com/rossenaar/status/781216368679067648,False,,0,,,,,,,,"[{'screen_name': 'N2000drenthe', 'name': 'Natura 2000 Drenthe', 'id': '3001011214'}, {'screen_name': 'Dwingelderveld', 'name': 'NP Dwingelderveld', 'id': '265957634'}]",,,,
773553638853730305,773553638853730305,2016-09-07 18:08:54 Romance Daylight Time,2016-09-07,18:08:54,+0200,376915889,boswachterrick,Rick Ruis,,Geen soort die je alle dagen tegenkomt #Waterlobelia #Twente  https://t.co/Lk2zgPPGJ8,nl,[],[],['https://pbs.twimg.com/media/Crw27WZWAAAACix.jpg'],0,2,12,"['waterlobelia', 'twente']",[],https://twitter.com/BoswachterRick/status/773553638853730305,False,,1,https://pbs.twimg.com/media/Crw27WZWAAAACix.jpg,,,,,,,[],,,,
626024949522808832,626009188263686144,2015-07-28 15:42:33 Romance Daylight Time,2015-07-28,15:42:33,+0200,194046496,rossenaar,Arnout-Jan Rossenaar,,@Bosw8erJanneke goed bericht zeg return of #waterlobelia #Strabrecht #prachtplant,nl,[],[],[],1,0,1,"['waterlobelia', 'strabrecht', 'prachtplant']",[],https://twitter.com/rossenaar/status/626024949522808832,False,,0,,,,,,,,[],,,,
