id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1366139144833884163,1366139144833884163,2021-02-28 22:32:08 Romance Standard Time,2021-02-28,22:32:08,+0200,3081529131,flyingeze,Flying Eze,,Protestors calling on federal government to sign emergency order to save Île-Perrot forest #Environment #WhiteOakForest #WesternChorusFrog #Vaudreuil-dorion #PeterSchiefke #MinisterOfEnvironment #IlePerrot #GreenParty #AlexTyrrell  https://t.co/awd5xXaWGG,ca,[],['https://www.flyingeze.com/p/save-ile-perrot-forest-activism'],[],0,0,0,"['environment', 'whiteoakforest', 'westernchorusfrog', 'vaudreuil', 'peterschiefke', 'ministerofenvironment', 'ileperrot', 'greenparty', 'alextyrrell']",[],https://twitter.com/flyingeze/status/1366139144833884163,False,,0,,,,,,,,[],,,,
1272964793939329024,1272964793939329024,2020-06-16 20:50:32 Romance Daylight Time,2020-06-16,20:50:32,+0200,1253799119987961856,herpoftheweeks,Denita Weeks,,Pseudacris triseriata may be no larger than a quarter but his song can be heard multiple ponds over #grandmesanationalforest #pseudacristriseriata #westernchorusfrog  https://t.co/Ixdz4kTQiM,en,[],[],[],0,0,0,"['grandmesanationalforest', 'pseudacristriseriata', 'westernchorusfrog']",[],https://twitter.com/HerpoftheWeeks/status/1272964793939329024,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1272964748938625024/pu/img/QaOpS_uESOk7cQgU.jpg,,,,,,,[],,,,
1246421066299379714,1246421066299379714,2020-04-04 14:55:14 Romance Daylight Time,2020-04-04,14:55:14,+0200,1010167044157800448,explorationproj,Exploration Project,,"I’ve learned that this sound is not spring peepers like I thought but that of the western (midland) chorus frog. Instead of a peep, it sounds like a finger moving across the teeth of a comb. #westernchorusfrog  https://t.co/GBKoX09iYz",en,[],[],[],5,4,102,['westernchorusfrog'],[],https://twitter.com/Explorationproj/status/1246421066299379714,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1246421014856204289/pu/img/bJ66uy5IQT7Pw5h6.jpg,,,,,,,[],,,,
1245429514311806980,1245429514311806980,2020-04-01 21:15:09 Romance Daylight Time,2020-04-01,21:15:09,+0200,26826623,pjdgreatlakes,"Patrick Doran, Ph.D.",,#TodayInTheWoods is the #PondOfLove. Must be 1000s of #SpringPeeper #WoodFrog &amp; #WesternChorusFrog   Know your frog calls here -  https://t.co/z3Dz2HHy4W  Learn how to mimic frog calls here! -  https://t.co/LM61esLzmf  #BackYardBirding #NatureZen #GetOutside #TeamHerp  @nature_MI  https://t.co/va7WZgabwn,en,"[{'screen_name': 'nature_mi', 'name': 'minature', 'id': '1304388553523118080'}]","['https://www.in.gov/dnr/kids/5914.htm', 'https://www.inhs.illinois.edu/outreach/spotlight/na/mimic-frog-call/']",[],0,6,8,"['todayinthewoods', 'pondoflove', 'springpeeper', 'woodfrog', 'westernchorusfrog', 'backyardbirding', 'naturezen', 'getoutside', 'teamherp']",[],https://twitter.com/pjdgreatlakes/status/1245429514311806980,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1245429354122919936/pu/img/FJjUNp9skiuoLNUl.jpg,,,,,,,[],,,,
1198799010431143936,1198799010431143936,2019-11-25 04:02:11 Romance Standard Time,2019-11-25,04:02:11,+0200,811549418,1proudcdn,Darcey,,"#SARA is the #Canadian #SpeciesAtRiskAct. Its been used to stop developments, for example, to  save the #WesternChorusFrog. But why do we have it, in the first place? How have #Canadians not yet learned to live in #harmony with other #species? #cdnpoli   https://t.co/u9ey7PtGOP  https://t.co/LjMEJiLkxW",en,[],['https://www.canada.ca/en/environment-climate-change/services/species-risk-act-accord-funding/act-description.html'],['https://pbs.twimg.com/media/EKL9WH4XUAEDgWq.jpg'],0,2,0,"['sara', 'canadian', 'speciesatriskact', 'westernchorusfrog', 'canadians', 'harmony', 'species', 'cdnpoli']",[],https://twitter.com/1ProudCdn/status/1198799010431143936,False,,1,https://pbs.twimg.com/media/EKL9WH4XUAEDgWq.jpg,,,,,,,[],,,,
1169946398940377088,1169946398940377088,2019-09-06 14:12:12 Romance Daylight Time,2019-09-06,14:12:12,+0200,14803951,calgaryherald,Calgary Herald,,'This is Kafkaesque': Developer goes to court for compensation over project halted by Western chorus frog  https://t.co/H4SGiAVDX6 #WesternChorusFrog  https://t.co/HEBS2diT6n,en,[],['http://bit.ly/2ZDkoif'],['https://pbs.twimg.com/media/EDx8DICXsAEp9tX.png'],0,0,0,['westernchorusfrog'],[],https://twitter.com/calgaryherald/status/1169946398940377088,False,,1,https://pbs.twimg.com/media/EDx8DICXsAEp9tX.png,,,,,,,[],,,,
1016729153176064001,1016729153176064001,2018-07-10 19:01:34 Romance Daylight Time,2018-07-10,19:01:34,+0200,111878564,ncc_ccn,National Capital Commission,,The #Greenbelt is a place for science! It provides valuable insights to researchers studying the #westernchorusfrog population which is declining in our region. 🐸🔬  https://t.co/WxLx9o96xS  https://t.co/TwUOpjf7kK,en,[],['http://ow.ly/65CL30kEy5o'],['https://pbs.twimg.com/media/DhwlxrIXcAYItQx.jpg'],0,1,3,"['greenbelt', 'westernchorusfrog']",[],https://twitter.com/NCC_CCN/status/1016729153176064001,False,,1,https://pbs.twimg.com/media/DhwlxrIXcAYItQx.jpg,,,,,,,[],,,,
1016641366955261958,1016641366955261958,2018-07-10 13:12:44 Romance Daylight Time,2018-07-10,13:12:44,+0200,382207006,mkeenan204,Mike Keenan,,Court rules Ottawa can halt private development to protect #endangered species /via @globeandmail  https://t.co/5zMnlfuHus #WesternChorusFrog,en,"[{'screen_name': 'globeandmail', 'name': 'the globe and mail', 'id': '8736882'}]",['https://www.theglobeandmail.com/politics/article-court-approves-protection-of-frog-species-on-private-land-saying/?utm_medium=Referrer:+Social+Network+/+Media&utm_campaign=Shared+Web+Article+Links'],[],0,0,0,"['endangered', 'westernchorusfrog']",[],https://twitter.com/mkeenan204/status/1016641366955261958,False,,0,,,,,,,,[],,,,
990095652364410880,990095652364410880,2018-04-28 07:09:33 Romance Daylight Time,2018-04-28,07:09:33,+0200,2959328357,suzynotes,Suzy,,#Cloudy dark blue #sky tonight looked amazing under a waxing gibbous #moon! The #frogs in the #woods were the loudest they've been yet this year. Calling out tonight: #springpeeper #woodfrog #westernchorusfrog &amp; 1st time this year: #Americantoad 'twas even louder than the peepers,en,[],[],[],0,0,0,"['cloudy', 'sky', 'moon', 'frogs', 'woods', 'springpeeper', 'woodfrog', 'westernchorusfrog', 'americantoad']",[],https://twitter.com/suzynotes/status/990095652364410880,False,,0,,,,,,,,[],,,,
988164353445818369,988164353445818369,2018-04-22 23:15:15 Romance Daylight Time,2018-04-22,23:15:15,+0200,2959328357,suzynotes,Suzy,,#Westernchorusfrog ? @OntarioNature @tanya_l_p Apr 20 #ElginON frosty night #frogs #Ontario  https://t.co/kyGk04xlte Article says they will mate while #ice is still present. @jameskelangreen Happy #EarthDay :)  https://t.co/YbsLeXnMQj,en,"[{'screen_name': 'ontarionature', 'name': 'ontario nature', 'id': '86989960'}, {'screen_name': 'tanya_l_p', 'name': 'tanya pulfer', 'id': '237720914'}, {'screen_name': 'jameskelangreen', 'name': 'james green', 'id': '767551727931228160'}]","['https://ontarionature.org/programs/citizen-science/reptile-amphibian-atlas/western-chorus-frog/', 'https://twitter.com/suzynotes/status/988037493063929861']",[],1,0,2,"['westernchorusfrog', 'elginon', 'frogs', 'ontario', 'ice', 'earthday']",[],https://twitter.com/suzynotes/status/988164353445818369,False,https://twitter.com/suzynotes/status/988037493063929861,0,,,,,,,,[],,,,
